questionnaire,item,item_index,r_pc1,var,n_models
ECR-R (Experiences in Close Relationships–Revised),I am very comfortable being close to romantic partners.,21,0.5523,1.679,47
Schwartz_Values,I seek out pleasure in life,12,0.551,1.266,48
NEED FOR COGNITION SCALE,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,3,0.5507,1.02,48
Basic Psychological Needs Scale,When I am working I often do not feel very capable.,39,0.5491,1.792,49
Need for Closure Scale (NFCS),I don't like situations that are uncertain.,2,0.5491,1.61,48
Adult Temperament Questionnaire,"When I am happy and excited, I have a hard time focusing my attention.",49,0.5489,1.819,48
Adult Temperament Questionnaire,I find it very annoying when a store does not stock an item that I wish to buy.,16,0.5483,2.38,49
The Internal Representation Questionnaire,I hear a running summary of everything I am doing in my head,26,0.5475,1.36,48
NEED FOR COGNITION SCALE,Thinking is not my idea of fun.,2,0.5462,1.135,49
Need for Closure Scale (NFCS),"When I have made a decision, I feel relieved.",11,0.5462,1.068,50
BSI,Spells of terror or panic,44,0.5455,1.218,48
Varieties of Inner Speech Questionnaire,"My thinking in words is shortened compared to my normal out-loud speech. For example, rather than saying to myself things like ‘I need to go to the shops’, I will just say ‘shops’ to myself in my head.",13,0.5455,2.297,48
Schwartz_Values,Rituals are important to me,17,0.5453,1.134,48
Adult Temperament Questionnaire,I often notice mild odors and fragrances.,51,0.5453,3.062,49
IRQ,I can close my eyes and easily picture a scene that I have experienced,1,0.5431,1.666,50
SVQ,I sometimes verbalize my thoughts when I'm playing a computer game or video game,2,0.543,3.333,49
IRQ,"When I read, I tend to hear a voice in my ""mind’s ear""",21,0.5427,1.563,48
Adult Temperament Questionnaire,I am often bothered by light that is too bright.,31,0.5427,2.689,50
BAI,Shaky / unsteady,12,0.5426,0.375,49
BAI,Difficulty in breathing,14,0.5414,0.63,49
BSI,Feeling that people are unfriendly or dislike you,20,0.5398,0.644,47
Spheres of Control-3,Almost anything is possible for me if I really want it.,21,0.5396,1.076,40
Basic Psychological Needs Scale,On my job I do not get much of a chance to show how capable I am.,34,0.5394,1.875,49
Moral Foundations Questionnaire (MFQ-30),"People should not do things that are disgusting, even if no one is harmed.",4,0.5391,2.25,47
ECR-R (Experiences in Close Relationships–Revised),It makes me mad that I don't get the affection and support I need from my partner.,15,0.5387,1.7,48
Schwartz_Values,I crave a predictable life,19,0.5385,1.136,49
Five Facet Mindfullness Questionnaire (FFMQ),I tell myself that I shouldn’t be thinking the way I’m thinking.,24,0.5378,0.964,50
ECR-R (Experiences in Close Relationships–Revised),"When I show my feelings for romantic partners, I'm afraid they will not feel the same about me.",7,0.5374,1.475,48
HEXACO,People think of me as someone who has a quick temper.,20,0.5372,0.896,50
State Trait Anxiety Inventory,Some unimportant thought runs through my mind and bothers me,37,0.5363,0.627,48
Balanced Inventory of Desirable Responding Version 6,My parents were not always fair when they punished me.,13,0.5361,1.792,47
Five Facet Mindfullness Questionnaire (FFMQ),"I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.",19,0.5352,0.963,46
IRQ,If I talk to myself in my head it is usually accompanied by visual imagery,8,0.5342,0.98,50
Varieties of Inner Speech Questionnaire-R,"When I am talking to myself about things in my mind, it is like I am having a conversation with myself.",9,0.534,2.996,47
BAI,Feeling hot,1,0.5335,0.276,50
Basic Psychological Needs Scale,I feel like I am free to decide for myself how to live my life.,0,0.5329,2.844,50
IRQ,My memories are mainly visual in nature,6,0.5328,1.138,46
Adult Temperament Questionnaire,I am often late for appointments.,1,0.5327,2.262,48
DASS-21,I was aware of dryness of my mouth,1,0.5326,0.463,49
Spheres of Control-3,It is impossible to have any real influence over what big businesses do.,23,0.5312,1.605,49
HEXACO,"When I suffer from a painful experience, I need someone to make me feel comfortable.",16,0.5299,0.949,50
IRQ,When traveling to get to somewhere I tend to think more visually than verbally,7,0.5299,0.571,49
BAI,Hot/cold sweats,20,0.5293,0.413,49
State Trait Anxiety Inventory,I feel confused,17,0.5292,0.553,48
DASS-21,I felt I wasn’t worth much as a person,16,0.529,0.702,50
Social Dominance Orientation Scale 7,Sometimes other groups must be kept in their place.,7,0.5288,1.681,49
HEXACO,I find it boring to discuss philosophy.,90,0.5268,0.782,49
SVQ,I sometimes think out loud to myself when I'm trying to clean up a mess in a big hurry,7,0.5266,1.963,49
Adult Temperament Questionnaire,I especially enjoy conversations where I say things without thinking first.,72,0.5241,2.154,48
Adult Temperament Questionnaire,Sometimes I feel sad for longer than an hour.,44,0.524,2.992,49
Five Facet Mindfullness Questionnaire (FFMQ),I can usually describe how I feel at the moment in considerable detail.,36,0.5234,1.438,50
Adult Temperament Questionnaire,"When I am resting with my eyes closed, I sometimes see visual images.",38,0.5233,3.78,48
ECR-R (Experiences in Close Relationships–Revised),It's not difficult for me to get close to my partner.,26,0.5231,1.249,49
DASS-21,I experienced trembling (e.g. in the hands),6,0.5216,0.362,49
Adult Temperament Questionnaire,It takes a lot to make me feel truly happy.,69,0.5206,1.398,50
HEXACO,People often joke with me about the messiness of my room or desk.,49,0.5185,1.003,49
NEED FOR COGNITION SCALE,It's enough for me that something gets the job done; I don't care how or why it works.,16,0.5184,1.273,48
HEXACO,I think that I am entitled to more respect than the average person is.,71,0.5183,1.169,50
CERQ (Cognitive Emotion Regulation Questionnaire),I feel that others are to blame for it.,32,0.5181,0.79,50
Ambivalent Sexism Inventory,Most women interpret innocent remarks or acts as being sexist.,3,0.5175,1.689,49
Spheres of Control-3,With enough effort we can wipe out political corruption.,14,0.5172,1.125,49
DASS-21,I felt scared without any good reason,19,0.5172,0.505,49
Varieties of Inner Speech Questionnaire,"My thinking in words is more like a dialog with myself, rather than my own thoughts in a monolog.",5,0.5143,1.73,48
State Trait Anxiety Inventory,I feel inadequate,35,0.5124,0.221,17
IRQ,I find it difficult to imagine how a 3D geometric figure would look when rotated,32,0.5115,0.961,49
Schwartz_Values,I like to tell others what to do,13,0.5111,1.085,48
HEXACO,People see me as a hard-hearted person.,99,0.5104,0.638,48
State Trait Anxiety Inventory,I wish I could be as happy as others seem to be,23,0.5099,0.556,49
Adult Temperament Questionnaire,Very bright colors sometimes bother me.,41,0.5099,2.011,49
Moral Foundations Questionnaire (MFQ-30),Men and women each have different roles to play in society.,9,0.5081,1.968,48
BSI,Feeling that you are watched or talked about by others,23,0.5081,0.638,46
The Internal Representation Questionnaire,When traveling to get to somewhere I tend to think more visually than verbally,7,0.5076,0.73,46
BSI,Hot or cold spells,29,0.5066,0.719,48
Basic Psychological Needs Scale,"When I am with XXXXXXX, I feel controlled and pressured to be certain ways.",50,0.5062,2.657,47
Adult Temperament Questionnaire,Colorful flashing lights bother me.,53,0.5059,2.634,49
BSI,Nausea or upset stomach,22,0.5047,0.529,49
Schwartz_Values,I enjoy being in charge of a situation,21,0.5027,1.017,48
BAI,Fear of dying,15,0.5018,0.667,49
Adult Temperament Questionnaire,"I sometimes dream of vivid, detailed settings unlike waking experience.",61,0.501,4.191,48
HEXACO,I get very anxious when waiting to hear about an important decision.,82,0.5,1.236,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I become irritated with myself for feeling that way",28,0.4993,0.981,47
Varieties of Inner Speech Questionnaire-R,I hear other people's voices nagging me in my head.,4,0.498,1.777,44
Varieties of Inner Speech Questionnaire-R,I talk to myself silently in an encouraging way.,18,0.4977,1.847,50
Balanced Inventory of Desirable Responding Version 6,It would be hard for me to break any of my bad habits.,1,0.4976,2.511,48
The Satisfaction with Life Scale,In most ways my life is close to my ideal,0,0.4973,0.343,46
Personal Need for Structure (PNS) Scale,I hate to be with people that are unpredictable,8,0.4967,1.259,49
CERQ (Cognitive Emotion Regulation Questionnaire),I feel that I am the one who is responsible for what has happened.,1,0.4966,0.934,48
SVQ,I sometimes guide myself using speech when I'm searching through a newspaper,17,0.4962,2.229,49
RWA scale 22-item,Our country desperately needs a mighty leader who will do what has to be done to destroy the radical new ways and sinfulness that are ruining us.,2,0.4958,4.518,50
BSI,Feelings of worthlessness,49,0.493,0.801,45
Religious Orientation Scale-R,I pray mainly to gain relief and protection. ,5,0.4919,1.038,47
State Trait Anxiety Inventory,I feel frightened,8,0.4907,0.381,48
Ambivalent Sexism Inventory,"Women, compared to men, tend to have a superior moral sensibility.",18,0.4889,1.496,46
Basic Psychological Needs Scale,People I interact with on a daily basis tend to take my feelings into consideration.,13,0.4888,1.919,50
HEXACO,People often tell me that I should try to cheer up.,69,0.4885,0.708,49
IRQ,A strategy I use to help me remember written material is imagining the writing,25,0.4884,0.997,49
SVQ,I sometimes think out loud to myself when I'm trying to write with a lot of distraction,1,0.4881,2.34,48
Belief in a Just World Scale,I believe that people generally receive the outcomes they deserve.,6,0.4877,0.884,49
Adult Temperament Questionnaire,I find certain scratchy sounds very irritating.,35,0.4864,3.02,48
Balanced Inventory of Desirable Responding Version 6,I have received too much change from a salesperson without telling him or her.,28,0.4862,1.201,49
The Internal Representation Questionnaire,"When I hear someone talking, I see words written down in my mind",22,0.4859,1.421,49
BSI,Never feeling close to another person,43,0.4842,0.957,48
Adult Temperament Questionnaire,"When I watch a movie, I usually don’t notice how setting conveys mood.",65,0.4837,2.059,49
IRQ,I rehearse in my mind how someone might respond to a text message before I send it,27,0.4826,0.955,49
Varieties of Inner Speech Questionnaire,I think to myself in words using full sentences.,6,0.4817,2.169,49
Five Facet Mindfullness Questionnaire (FFMQ),I pay attention to how my emotions affect my thoughts and behavior.,35,0.4814,1.261,50
HEXACO,I sometimes feel that I am a worthless person.,75,0.4813,0.722,48
HEXACO,I would be very bored by a book about the history of science and technology.,54,0.4812,0.582,49
Basic Psychological Needs Scale,I often do not feel very capable.,18,0.4812,2.088,49
Social Dominance Orientation Scale 7,In getting what you want‚ it is sometimes necessary to use force against other groups.,1,0.4799,1.933,50
BSI,Having urges to break or smash things,40,0.4789,0.659,48
BFI-2,"Leaves a mess, doesn’t clean up.",47,0.4788,0.898,50
HEXACO,I would get a lot of pleasure from owning expensive luxury goods.,89,0.4786,0.866,50
BAI,Dizzy or lightheaded,5,0.4778,0.458,49
Bayesian Racism Scale,"If you want to make accurate predictions, you should use information about a person’s ethnic group when deciding if they will perform well.",0,0.4772,1.944,47
Adult Temperament Questionnaire,It is very hard for me to focus my attention when I am distressed.,39,0.4769,3.458,49
Ambivalent Sexism Inventory,Many women have a quality of purity that few men possess.,7,0.4764,2.333,49
Basic Psychological Needs Scale,I do not feel very competent when I am at work.,23,0.4764,1.814,49
The Internal Representation Questionnaire,"When I am introduced to someone for the first time, I imagine what their name would look like when written down",24,0.4756,1.009,49
NEED FOR COGNITION SCALE,I like tasks that require little thought once I've learned them.,8,0.4756,1.009,49
DASS-21,I couldn’t seem to experience any positive feeling at all,2,0.4733,0.84,48
Individualism-collectivism IND-COL,I enjoy working in situations involving competition with others,14,0.4732,2.213,49
HEXACO,I would be tempted to buy stolen property if I were financially tight.,35,0.4731,0.55,49
BFI-2,Thinks poetry and plays are boring.,49,0.4728,0.958,49
Balanced Inventory of Desirable Responding Version 6,I have said something bad about a friend behind his or her back.,26,0.4707,2.319,48
Self-Talk Scale,I am really happy for myself,4,0.4701,0.91,49
Adult Temperament Questionnaire,"When I hear of an unhappy event, I immediately feel sad.",64,0.4696,3.347,50
Adult Temperament Questionnaire,I would probably enjoy playing a challenging and fast-paced video game with lots of noise and lights.,29,0.4694,1.939,49
Varieties of Inner Speech Questionnaire,I think to myself in words using brief phrases and single words rather than full sentences.,0,0.4683,1.618,47
BSI,Feeling that most people cannot be trusted,9,0.4677,0.866,46
Basic Psychological Needs Scale,In my life I do not get much of a chance to show how capable I am.,14,0.4676,2.142,50
BSI,The idea that something is wrong with your mind,52,0.4672,0.622,49
MCQ-30,Worrying helps me to get things sorted out in my mind,9,0.4663,0.604,49
ECR-R (Experiences in Close Relationships–Revised),I feel comfortable depending on romantic partners.,32,0.466,0.711,46
The Internal Representation Questionnaire,My memories often involve conversations I’ve had,20,0.4652,0.9,48
BAI,Wobbliness in legs,2,0.4646,0.23,49
Varieties of Inner Speech Questionnaire,"I hear the voice of another person in my head. For example, when I have done something foolish I hear my mother's voice criticising me in my mind.",2,0.4644,1.844,48
MCQ-30,Not being able to control my thoughts is a sign of weakness,19,0.4634,0.473,46
SVQ,I sometimes think out loud to myself when I'm working on a crossword puzzle,11,0.4632,2.82,47
Spheres of Control-3,I usually do not set goals because I have a hard time following through on them.,15,0.463,1.883,48
CERQ (Cognitive Emotion Regulation Questionnaire),I feel that basically the cause lies with others.,35,0.4623,0.98,49
IRQ,I often enjoy the use of mental pictures to reminisce,0,0.4615,0.98,50
HEXACO,"I prefer to do whatever comes to mind, rather than stick to a plan.",91,0.4603,0.842,50
Belief in a Just World Scale,I believe that people who meet with misfortune have often brought it on themselves.,4,0.4576,1.319,48
HEXACO,"When it comes to physical danger, I am very fearful.",52,0.4566,1.06,48
Moral Foundations Questionnaire (MFQ-30),It can never be right to kill a human being,11,0.4558,2.721,46
HEXACO,Sometimes I like to just watch the wind as it blows through the trees.,72,0.4545,0.491,49
State Trait Anxiety Inventory,I feel like a failure,24,0.4539,0.342,49
BSI,Temper outbursts that you could not control,12,0.4519,0.69,47
DASS-21,"I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)",3,0.4517,0.249,49
ECR-R (Experiences in Close Relationships–Revised),I find it easy to depend on romantic partners.,33,0.4511,1.882,47
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I believe that I will remain that way for a long time",14,0.4499,1.02,48
DERS (Difficulties in Emotion Regulation Scale),I am attentive to my feelings,5,0.4498,1.37,50
Religious Orientation Scale-R,It is important to me to spend time in private thought and prayer. ,3,0.4497,0.923,50
ECR-R (Experiences in Close Relationships–Revised),I worry that romantic partners won’t care about me as much as I care about them.,3,0.4497,1.383,48
Schwartz_Values,Achieving my goals is one of the greatest joys in life,18,0.4492,1.526,49
BFI-2,Can be cold and uncaring.,46,0.4492,0.624,48
BSI,Feeling weak in parts of your body,36,0.4488,0.589,48
BSI,Poor appetite,10,0.4484,0.367,50
The Internal Representation Questionnaire,"I hear words in my ""mind’s ear"" when I think",17,0.4482,1.227,48
Basic Psychological Needs Scale,I feel like I can make a lot of inputs to deciding how my job gets done.,21,0.4482,2.041,50
IRQ,I often use mental images or pictures to help me remember things,5,0.4473,0.925,48
MCQ-30,I should be in control of my thoughts all of the time,12,0.4473,0.854,47
Bayesian Racism Scale,"When the only thing you know about someone is their race, it makes sense to use your knowledge of their racial group to form an impression of them.",2,0.4469,1.516,48
Self-Talk Scale,I feel ashamed of something I’ve done,6,0.4462,0.794,49
BAI,Unsteady,7,0.4462,0.444,50
BSI,Suddenly scared for no reason,11,0.4462,0.708,49
HEXACO,The first thing that I always do in a new place is to make friends.,87,0.4459,0.676,50
BFI-2,Has an assertive personality.,5,0.4454,0.304,50
IRQ,I often talk to myself internally while watching TV,19,0.4451,0.814,49
Belief in a Just World Scale,I think basically the world is a just place.,3,0.4446,0.734,48
Religious Orientation Scale-R,What religion offers me most is comfort in times of trouble and sorrow. ,7,0.4438,0.542,49
Varieties of Inner Speech Questionnaire,"I hear other people's actual voices in my head, saying things that they actually once said to me.",15,0.4431,1.537,45
Adult Temperament Questionnaire,Looking down at the ground from an extremely high place would make me feel uneasy.,11,0.4431,3.244,50
BSI,Numbness or tingling in parts of your body,32,0.4419,0.433,50
Moral Foundations Questionnaire (MFQ-30),"People should be loyal to their family members, even when they have done something wrong.",8,0.4415,1.354,49
Religious Orientation Scale-R,Prayer is peace and happiness. ,8,0.4414,0.42,47
Moral Foundations Questionnaire (MFQ-30),I would call some acts wrong on the grounds that they are unnatural,10,0.4412,1.291,47
Basic Psychological Needs Scale,People at work care about me.,35,0.4404,1.702,48
Spheres of Control-3,I often find it hard to get my point of view across to others.,22,0.4401,1.239,24
The Internal Representation Questionnaire,My memories are mainly visual in nature,6,0.4399,0.703,46
Ambivalent Sexism Inventory,"No matter how accomplished he is, a man is not truly complete as a person unless he has the love of a woman.",0,0.4396,1.038,50
CERQ (Cognitive Emotion Regulation Questionnaire),I think about pleasant experiences.,15,0.4391,0.684,49
ECR-R (Experiences in Close Relationships–Revised),I often wish that my partner's feelings for me were as strong as my feelings for him or her.,4,0.4373,1.266,46
Ambivalent Sexism Inventory,Every man ought to have a woman whom he adores.,11,0.4368,2.032,49
BSI,Your mind going blank,31,0.4367,0.63,49
PROTESTANT WORK ETHIC SCALE_,Most people who do not succeed in life are just plain lazy,5,0.4366,1.542,49
Varieties of Inner Speech Questionnaire-R,"I hear other people's actual voices in my head, saying things that they actually once said to me.",15,0.4363,2.113,48
BSI,Trouble getting your breath,28,0.4358,0.555,44
PROTESTANT WORK ETHIC SCALE_,Any man who is able and willing to work hard has a good chance of succeeding,9,0.4358,0.783,48
Ambivalent Sexism Inventory,"Once a woman gets a man to commit to her, she usually tries to put him on a tight leash.",14,0.4355,1.265,50
BSI,The idea that you should be punished for your sins,33,0.4341,0.605,47
Balanced Inventory of Desirable Responding Version 6,There have been occasions when I have taken advantage of someone.,22,0.4329,1.708,49
Basic Psychological Needs Scale,The people I work with do not seem to like me much.,38,0.4326,1.714,50
Balanced Inventory of Desirable Responding Version 6,The reason I vote is because my vote can make a difference.,12,0.4322,2.824,49
Balanced Inventory of Desirable Responding Version 6,I have not always been honest with myself.,3,0.4316,2.296,49
Varieties of Inner Speech Questionnaire,I hear other people's voices nagging me in my head.,4,0.4314,0.929,50
PROTESTANT WORK ETHIC SCALE_,Life would be more meaningful if we had more leisure time,14,0.4298,0.915,50
Ambivalent Sexism Inventory,Men should be willing to sacrifice their own well being in order to provide financially for the women in their lives.,19,0.4298,0.913,49
Varieties of Inner Speech Questionnaire-R,"When angry, my inner speech can help calm me down.",24,0.4289,2.145,48
Moral Foundations Questionnaire (MFQ-30),I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,12,0.4284,1.345,47
Personal Need for Structure (PNS) Scale,I do not like situations that are uncertain,6,0.4279,1.393,48
BSI,Thoughts of death or dying,38,0.4274,0.537,45
SVQ,I sometimes plan my actions out loud when I'm getting organized,6,0.4257,1.967,49
BSI,The idea that someone else can control your thoughts,2,0.4251,0.686,46
Basic Psychological Needs Scale,The people I interact with regularly do not seem to like me much.,17,0.4242,1.204,47
Personal Need for Structure (PNS) Scale,I enjoy the exhilaration of being put in unpredictable situations,10,0.424,1.145,49
ECR-R (Experiences in Close Relationships–Revised),I talk things over with my partner.,30,0.4236,1.445,48
HEXACO,I would feel afraid if I had to travel in bad weather conditions.,4,0.4228,1.083,49
Ambivalent Sexism Inventory,"Women, as compared to men, tend to have a more refined sense of culture and good taste.",21,0.4227,1.658,48
Individualism-collectivism IND-COL,What happens to me is my own doing,24,0.4225,3.571,49
Basic Psychological Needs Scale,"When I am with XXXXXXX, I feel very capable and effective.",48,0.4224,2.07,46
BFI-2,Has little creativity.,29,0.4207,0.723,48
The Internal Representation Questionnaire,I rehearse in my mind how someone might respond to a text message before I send it,27,0.4202,0.606,49
Basic Psychological Needs Scale,Most days I feel a sense of accomplishment from what I do.,12,0.4201,2.297,49
Varieties of Inner Speech Questionnaire,"When I am talking to myself about things in my mind, it is like I am going back and forward asking myself questions and then answering them.",1,0.4198,2.157,49
Varieties of Inner Speech Questionnaire-R,"I evaluate my behavior using my inner speech. For example I say to myself, “that was good” or “that was stupid”",17,0.4198,3.085,48
BAI,Feeling of choking,10,0.4183,0.303,49
SVQ,I sometimes verbalize my thoughts when I'm searching for a book in a library,16,0.417,2.092,50
RWA scale 22-item,"There are many radical, immoral people in our country today, who are trying to ruin it for their own godless purposes, whom the authorities should put out of action.",16,0.4142,5.17,48
The Internal Representation Questionnaire,I find it difficult to imagine how a three-dimensional geometric figure would exactly look like when rotated,32,0.4136,0.886,45
HEXACO,People often call me a perfectionist.,85,0.4116,0.582,50
ECR-R (Experiences in Close Relationships–Revised),I am nervous when partners get too close to me.,31,0.4114,1.648,48
ECR-R (Experiences in Close Relationships–Revised),Sometimes romantic partners change their feelings about me for no apparent reason.,12,0.4112,0.785,49
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,I control my emotions by not expressing them.,5,0.4112,1.173,46
ECR-R (Experiences in Close Relationships–Revised),"When my partner is out of sight, I worry that he or she might become interested in someone else.",6,0.4106,1.942,47
Ambivalent Sexism Inventory,"When women lose to men in a fair competition, they typically complain about being discriminated against.",15,0.4094,1.036,46
BFI-2,Has little interest in abstract ideas.,54,0.4079,1.087,50
Moral Foundations Questionnaire (MFQ-30),Whether or not someone conformed to the traditions of society,9,0.4069,1.215,47
BSI,Thoughts of ending your life,8,0.4066,1.063,43
BSI,Feeling afraid in open spaces,7,0.4055,0.381,48
RWA scale 22-item,"What our country really needs is a strong, determined leader who will crush evil, and take us back to our true path.",13,0.4053,4.333,48
Need for Closure Scale (NFCS),I dislike unpredictable situations.,39,0.4046,1.43,46
RWA scale 22-item,"You have to admire those who challenged the law and the majority's view by protesting for women's abortion rights, for animal rights, or to abolish school prayer.",12,0.4038,1.667,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think of something nice instead of what has happened.,14,0.403,0.559,50
HEXACO,"If I knew that I could never get caught, I would be willing to steal a million dollars.",11,0.403,0.847,50
Varieties of Inner Speech Questionnaire-R,I experience the voices of other people asking me questions in my head.,3,0.4029,0.609,45
Varieties of Inner Speech Questionnaire-R,"I hear other people's actual voices in my head, saying things that they have never said to me before.",11,0.4025,0.933,47
CMQ Conspiracy mentality,Events which superficially seem to lack a connection are often the result of secret activities,3,0.402,3.571,50
Individualism-collectivism IND-COL,Without competition it is impossible to have a good society,26,0.4019,1.848,49
Ambivalent Sexism Inventory,Women exaggerate problems they have at work.,13,0.4003,1.079,47
NEED FOR COGNITION SCALE,I only think as hard as I have to.,6,0.4002,1.208,46
HEXACO,I think that paying attention to radical ideas is a waste of time.,18,0.4,0.488,50
IRQ,My memories often involve conversations I’ve had,20,0.3994,0.773,49
Religious Orientation Scale-R,I go to church because it helps me to make friends. ,1,0.398,0.764,48
Balanced Inventory of Desirable Responding Version 6,I always declare everything at customs.,29,0.3976,5.362,50
BAI,Face flushed,19,0.3971,0.497,49
Varieties of Inner Speech Questionnaire,I experience the voices of other people asking me questions in my head.,3,0.3952,0.668,44
Individualism-collectivism IND-COL,Winning is everything,2,0.393,3.75,49
HEXACO,I would like to be seen driving around in a very expensive car.,65,0.3917,0.719,48
Need for Closure Scale (NFCS),I feel uncomfortable when someone's meaning or intention is unclear to me.,35,0.3913,0.772,47
Balanced Inventory of Desirable Responding Version 6,My first impressions of people usually turn out to be right.,0,0.3906,1.5,48
Spheres of Control-3,Bad luck has sometimes prevented me from achieving things.,18,0.3894,1.417,49
Social Dominance Orientation Scale 7,If certain groups stayed in their place‚ we would have fewer problems.,4,0.3894,1.038,47
Personal Need for Structure (PNS) Scale,I ﬁnd that a well-ordered life with regular hours makes my life tedious,5,0.3892,1.147,49
Adult Temperament Questionnaire,Sometimes my mind is full of loosely connected thoughts and images.,40,0.3884,2.344,49
SVQ,I sometimes think out loud to myself when I'm trying to organize pages of notes,3,0.3883,2.242,46
Varieties of Inner Speech Questionnaire,"I evaluate my behavior using my inner speech. For example I say to myself, “that was good” or “that was stupid”",17,0.3882,1.729,48
Ambivalent Sexism Inventory,Women seek to gain power by getting control over men.,10,0.388,0.892,48
Five Facet Mindfullness Questionnaire (FFMQ),I disapprove of myself when I have irrational ideas.,38,0.3856,0.693,49
Schwartz_Values,It is important to be successful,3,0.385,0.466,46
Varieties of Inner Speech Questionnaire,I talk back and forward to myself in my mind about things.,12,0.3846,2.128,49
Moral Foundations Questionnaire (MFQ-30),Whether or not someone’s action showed love for his or her country,2,0.3843,1.19,48
BFI-2,Is suspicious of others’ intentions.,41,0.3832,0.594,49
HEXACO,"I’d be tempted to use counterfeit money, if I were sure I could get away with it.",83,0.3832,0.584,47
HEXACO,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",5,0.3807,1.143,50
Religious Orientation Scale-R,I go to church mostly to spend time with my friends. ,10,0.3806,0.702,49
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I want to feel less negative emotion (such as sadness or anger), I change what I’m thinking about.",2,0.3806,1.056,49
HEXACO,"Whenever I feel worried about something, I want to share my concern with another person.",64,0.3802,0.554,47
BSI,"Feeling afraid to travel on buses, subways, or trains",27,0.3789,0.351,48
Self-Talk Scale,Something bad has happened to me,13,0.3773,1.078,50
Basic Psychological Needs Scale,I really like the people I interact with.,1,0.3772,1.713,50
DERS (Difficulties in Emotion Regulation Scale),I know exactly how I am feeling,6,0.377,1.298,50
Varieties of Inner Speech Questionnaire-R,"My thinking in words is more like a dialog with myself, rather than my own thoughts in a monolog.",5,0.3753,2.225,49
Five Facet Mindfullness Questionnaire (FFMQ),"When I take a shower or bath, I stay alert to the sensations of water on my body.",5,0.375,0.991,50
Balanced Inventory of Desirable Responding Version 6,When I was young I sometimes stole things.,30,0.3746,0.723,48
The Satisfaction with Life Scale,I am satisfied with life,2,0.3745,0.367,49
Gavagai,"You have a certain amount of gavagai, and you can’t really do much to change it",0,0.3744,0.903,49
Ambivalent Sexism Inventory,"Many women are actually seeking special favors, such as hiring policies that favor them over men, under the guise of asking for ""equality"".",1,0.3735,1.636,47
BAI,Handstrembling,11,0.3728,0.404,48
IRQ,I think about problems in my mind in the form of a conversation with myself,10,0.3718,1.086,49
Balanced Inventory of Desirable Responding Version 6,I rarely appreciate criticism.,15,0.3713,2.952,49
Spheres of Control-3,One of the major reasons we have wars is because people don't take enough interest in politics.,17,0.3702,0.834,50
NEED FOR COGNITION SCALE,"I prefer to think about small, daily projects to long-term ones.",7,0.3697,0.977,48
BSI,"Having urges to beat, injure, or harm someone",39,0.3695,0.455,43
ECR-R (Experiences in Close Relationships–Revised),"I'm afraid that once a romantic partner gets to know me, he or she won't like who I really am.",14,0.3695,1.135,47
HEXACO,It wouldn’t bother me to harm someone I didn’t like.,98,0.3686,0.28,46
The Satisfaction with Life Scale,So far I have gotten the important things I want in life,3,0.3678,0.296,47
Moral Foundations Questionnaire (MFQ-30),Whether or not someone showed a lack of respect for authority,3,0.3663,0.975,47
SVQ,I sometimes verbalize my thoughts when I'm memorizing something for an exam,4,0.3655,2.681,48
Need for Closure Scale (NFCS),I prefer to socialize with familiar friends because I know what to expect from them.,25,0.3632,0.585,48
Adult Temperament Questionnaire,It doesn’t take much to evoke a happy response in me.,48,0.3617,2.327,50
The Internal Representation Questionnaire,I tend to think things through verbally when I am relaxing,14,0.3607,0.61,49
EMOTION REGULATION QUESTIONNAIRE (ERQ)_,"When I want to feel more positive emotion (such as joy or amusement), I change what I’m thinking about.",0,0.3606,1.402,48
RWA scale 22-item,Our country will be destroyed someday if we do not smash the perversions eating away at our moral fiber and traditional beliefs.,9,0.3592,4.029,46
Individualism-collectivism IND-COL,I would do what would please my family,1,0.3577,2.663,50
Varieties of Inner Speech Questionnaire-R,I talk silently to myself telling myself not to do things.,16,0.3556,2.344,49
Varieties of Inner Speech Questionnaire,I talk silently to myself telling myself to do things.,10,0.3504,2.366,47
IRQ,I tend to think things through verbally when I am relaxing,14,0.3499,0.664,47
HEXACO,"If someone has cheated me once, I will always feel suspicious of that person.",50,0.3496,0.957,49
MCQ-30,I have little confidence in my memory for words and names,7,0.3489,0.51,48
DERS (Difficulties in Emotion Regulation Scale),I pay attention to how I feel,1,0.3477,0.953,47
Personal Need for Structure (PNS) Scale,I like being spontaneous,4,0.3473,0.56,48
BFI-2,"Is outgoing, sociable.",0,0.347,0.467,49
BFI-2,"Feels secure, comfortable with self.",23,0.3465,0.302,49
Self-Monitoring Scale,"At a party, I let others keep the jokes and stories going.",21,0.3463,0.255,48
BFI-2,Feels little sympathy for others.,16,0.3459,0.792,49
